,The Crusher,Young Homie,Giant Sea Monkey,Mack,Abomination,Ancient One,Ant-Man,Trip,Agent 3333Melinda May,Ben Urich,Aida,Black Bolt,Black Panther,Son of a Bitch,Black Widow,Mandarin,Blade,Mr. Secretary,Bobbi Morse,Alexandra Reid,New York,Steve Rogers,Captain Marvel,Al,Some Roided-Out Jockstrap,Laura Patterson,Hottie Mc,Ginger Ninjas,Cloak,Master,Alphonso Mackenzie,Crystal,The Smiley Twins (with Vladimir Ranskahov),Dagger,Pegleg,Dad,Matt Murdock,A Getaway Guy Three Wombats (with Luis and Kurt),General Inhuman,Mike Peterson,Debrii,Genius,Doctor Strange,Water Bottle Girl,Drax The Destroyer,Dum Dum Dugan,Mr. Fancy,The Greek Girl,The Assassin,Single Male,AWOL,Lightning Foot,The Ayesha Chick,Janitor,Sam Wilson,Mystery Man,Fandral the Dashing,Banker,Junior,Baroness,Witch,Gabe Jones,The Beast,Little One,Beetle,Gert Yorkes,Dex,Robbie Reyes,Bill Fisk,The Real Deal,Bill Foster,The Guardian,Black Mariah,Lincoln,Blackout,Baby Groot,Donnie Gill,Hank Pym,Clint Barton,Gatekeeper,The Bride of Nine Spiders,Hogun the Grim,The Army's Number One Weapons Contractor,Bruce Banner,Johnny Mc,Danny Rand,Cal,Iron Man,Calvin Zabo[1]Cal,Gunman,Frenchie,Limey,The Mortal,Wasp,Fitz,Cat,Jess,Jim Morita,Joey Gutierrez,One-Eyed Sycophant,The Visionary,Church Girl,Cockroach,Pile of Rocks,Comanche,Controller,Three Wombats (with Luis and Dave),Lance Hunter,Lash,Leo Fitz,Cottonmouth,Linc,Crank,Loki Odinson,Crossbones,Daddy Three Wombats (with Dave and Kurt)Boss,Mr. Bulletproof,D'Spayre,Your Highness,Daisy Fleet,Evil Prick,Gross Bug Lady,Photon,Daniel Whitehall63635Old Man,Brigid O'Reilly,Medusa,D,Mellie,Melinda May,Second Best,Micro,Zack Smith,Diamondback,Mister Immortal,The One,Misty Knight,Dorothy Underwood,Molls,Kingpin,Daughter of Thanos,Maw,Nick Fury,The Specialist,Hermione,The Living Planet,Night Thrasher,Eli Morrow,Allfather,Mom,Chickadee,Hot Wings,Monster,Anti-Inhuman Hatemonger,Patriot,Iron Patriot,Peggy Carter,Killmonger,Pepper Potts,Phil Coulson,Graf Von Kaufmann,Frank Castle,Quake,Quicksilver,Mama,The Love Boat Captain,Rocket,Scarlet Witch,Zeke Stane,Most Trusted Messenger,Agent 13Kate,Top Brass,Fixer,Lady Sif,Darling,Robbie Baldwin,Spider-Man,Squirrel Girl,Star-Lord,Stick,Soh-Larr,PRIDE's Fixer,God of Thunder,The Operative,Valkyrie,That Guy from that Church,A Vision of Hope,Frank Hall,Volstagg the Valiant,Rhodey,Sarge,Bucky Barnes,GBig Homie,Beyoncé,Batroc The Leaper,Yo-Yo,Ghost,Pirate,Old Man,The Guy With The Suit,Gordo,Grandmaster,Evil Faceless Government Toolbag,Greg,Avuncular Fellow,Teacher's Pet,Mr. MFrank N. Stein,Baron Zemo,Fred Clemson,Goddess of Death,Hellfire,Dr. Theo Broussard,Hive,The Astronaut,Worm,Holden Radcliffe,Hunter One,Big Shot Billionaire,Id Simmons,Iron Cross,Iron Monger,Mike,Creator,Shocker,Sid,Agent M,Несчастная Маленькая Сука[1],Jeffrey Mace,Fountain of Youth,Billy Russo,The Bear,Wielder of the Arrow,Viktor Ivchenko,John Garrett,Bowling Alley Nut,Johnny Horton,John Pilgrim,The Magistrate
The Crusher,,0,0,1,2,0,0,0,1,1,1,0,0,0,1,0,0,1,1,0,0,2,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0,1,1,0,0,1,2,0,0,0,2,1,1,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,1,1,0,1,0,1,1,0,1,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,1,1,0,1,0,1,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0
Young Homie,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Giant Sea Monkey,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mack,1,0,0,,1,0,0,0,1,0,1,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,1,0,0,1,1,0,0,0,1,1,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,1,1,0,1,0,1,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,1,1,0,1,0,1,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
Abomination,2,0,0,1,,0,0,0,1,1,1,0,0,0,1,0,0,1,1,1,0,3,0,0,0,0,2,1,0,1,0,0,1,0,0,1,3,0,0,1,0,1,0,0,0,1,0,2,0,1,0,1,0,0,0,1,1,0,1,0,1,0,0,0,0,0,1,1,1,2,0,0,0,1,0,0,0,0,2,1,0,1,1,7,0,1,0,3,1,1,0,0,2,0,1,0,2,0,1,0,0,0,0,0,0,0,0,1,1,1,0,1,0,3,0,0,2,0,0,0,0,0,0,1,0,0,0,1,1,0,3,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0,1,1,0,1,0,1,1,0,2,1,1,0,1,0,1,0,1,0,1,0,2,0,0,0,0,0,2,0,0,2,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,1,1,1,0,1,0,1,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,1,1,0,0,0,1,0,1,1,0,0,0,1,1,0,1,0
Ancient One,0,0,0,0,0,,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Ant-Man,0,0,0,0,0,0,,0,0,0,0,0,3,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,3,0,0,3,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Trip,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Agent 3333Melinda May,1,0,0,1,1,0,0,0,,0,1,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,1,0,0,1,1,0,0,0,1,1,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,1,1,0,1,0,1,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,1,1,0,1,0,1,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
Ben Urich,1,0,0,0,1,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0
